Strompreis [Euro/kWh],Netzlast [kW]
0.3440766,0.647514376
0.3449929,0.457921394
0.3528588,0.654156168
0.3576069,0.259150662
0.3576545,0.350324357
0.3620813,0.228839937
0.3657703,0.33088202
0.3800027,0.282336555
0.359856,0.29562014
0.3487771,1.149513119
0.3434459,0.836262039
0.333081,0.853047659
0.3249771,0.863674527
0.3129462,0.711154823
0.3095666,0.294162721
0.3046519,0.273886734
0.302379,0.263051419
0.3019268,0.26326598
0.3050922,0.265518867
0.3091739,0.634026871
0.3215975,0.313687744
0.3455284,0.262515017
0.362593,0.289335105
0.3581662,0.811683131
0.3447549,0.872940211
0.3412444,0.388140308
0.3241084,0.625229882
0.3170517,0.471818981
0.3156356,0.259189326
0.3249414,0.368615284
0.3312127,0.199434171
0.3373531,0.270882885
0.3356633,0.438991194
0.3252746,0.639283608
0.3162782,0.840863386
0.3116967,0.869292679
0.3090906,1.368146308
0.3003798,0.20512003
0.2967741,0.294162721
0.2924544,0.273886734
0.2908836,0.263051419
0.2874683,0.26326598
0.2881347,0.265518867
0.2930732,0.634026871
0.3055325,0.313687744
0.3165162,0.262515017
0.3368652,0.289335105
0.3354253,0.811683131
0.3260124,0.872940211
0.3155523,0.388140308
0.3042116,0.625229882
0.3000704,0.471818981
0.3022838,0.259189326
0.3049494,0.368615284
0.313565,0.199434171
0.3241679,0.270882885
0.3219069,0.438991194
0.3106376,0.639283608
0.3008439,0.840863386
0.2974167,0.869292679
0.2944655,1.368146308
0.2898364,0.20512003
0.2913239,0.294162721
0.2882894,0.273886734
0.2883965,0.263051419
0.2863497,0.26326598
0.2863854,0.265518867
0.2862664,0.634026871
0.287266,0.313687744
0.2923949,0.262515017
0.3018197,0.289335105
0.3054849,0.811683131
0.2982259,0.872940211
0.2970002,0.388140308
0.2933826,0.625229882
0.2946321,0.471818981
0.300118,0.259189326
0.3069248,0.368615284
0.3172659,0.199434171
0.3257506,0.270882885
0.3316292,0.438991194
0.3217522,0.639283608
0.3103282,0.840863386
0.3029145,0.869292679
