Heizlast_kW,electric_load_kW,wind_infeed
970.0176366843039,460.155947,1500.263
1007.8105316200559,373.334964,1511.75
1083.39632149156,536.414421,1563.356
1196.7750062988164,246.63222,1651.004
1158.9821113630642,300.818366,1734.706
1133.7868480725629,426.715896,1786.999
1095.9939531368107,137.92837,1889.881
1070.7986898463093,329.000845,1887.21
1007.8105316200559,741.459722,1946.491
957.420005039053,912.401854,2518.161
944.8223733938024,1523.416956,2646.676
919.627110103301,457.124555,2598.194
919.627110103301,523.957292,2514.437
932.2247417485518,400.996423,2411.128
944.8223733938024,892.697801,2359.16
970.0176366843039,607.462689,2409.072
1007.8105316200559,1011.348408,2425.562
1007.8105316200559,1125.073002,2279.441
995.2128999748053,1648.840832,2163.535
995.2128999748053,1441.711449,2073.129
1007.8105316200559,811.65541,2111.418
1033.0057949105571,394.981003,1757.154
1007.8105316200559,327.011494,1480.471
944.8223733938024,510.126562,1239.726
970.0176366843039,414.779787,1094.637
1007.8105316200559,628.256149,1029.965
1083.39632149156,341.315878,1062.809
1196.7750062988164,349.84167,1116.805
1158.9821113630642,527.935995,1125.78
1133.7868480725629,545.319138,1110.14
1095.9939531368107,534.046146,1094.617
1070.7986898463093,778.452187,1008.537
1007.8105316200559,587.758636,803.994
957.420005039053,337.763465,752.591
944.8223733938024,577.527686,933.161
919.627110103301,502.453349,1145.255
919.627110103301,1124.220423,1217.355
932.2247417485518,746.764659,1228.281
944.8223733938024,516.89983,1515.759
970.0176366843039,461.766375,1994.792
1007.8105316200559,488.906813,2307.843
1007.8105316200559,678.416226,2607.057
995.2128999748053,1057.103493,2864.34
995.2128999748053,1151.645054,2767.463
1007.8105316200559,2010.808073,2785.306
1033.0057949105571,1020.632049,2850.358
1007.8105316200559,625.035294,2986.183
944.8223733938024,583.401009,2973.607
1259.76316452507,648.765415,2945.934
1511.7157974300837,333.263741,2899.844
1889.6447467876048,380.108232,2909.558
2204.5855379188724,308.917868,3005.128
2204.5855379188724,421.458324,3046.993
2141.5973796926187,284.808823,3084.961
2078.609221466365,416.863869,3322.934
2015.6210632401119,210.208141,3437.001
1889.6447467876048,380.723984,3576.1
1637.692113882591,686.799921,3521.436
1574.7039556563373,537.740656,3500.134
1511.7157974300837,526.799222,3480.709
1385.7394809775767,1040.715026,3512.757
1322.7513227513234,597.705394,3594.906
1196.7750062988164,531.67787,3693.346
1133.7868480725629,427.52111,3788.453
1133.7868480725629,636.545113,3841.212
1070.7986898463093,978.097819,3841.399
1007.8105316200559,557.776267,3796.031
944.8223733938024,726.255393,3738.862
944.8223733938024,1348.40139,3693.239
1007.8105316200559,634.603127,3632.022
1007.8105316200559,957.256994,3533.781
944.8223733938024,355.951821,3416.547
1259.76316452507,230.291118,3293.67
1511.7157974300837,448.882955,2974.371
1889.6447467876048,538.593235,2863.854
2204.5855379188724,332.316431,2887.753
2204.5855379188724,359.125311,2945.413
2141.5973796926187,462.571588,2945.912
2078.609221466365,656.722821,2945.833
2015.6210632401119,385.318439,2909.867
1889.6447467876048,1159.60246,2854.719
1637.692113882591,521.96794,2966.298
1574.7039556563373,479.717904,3227.978
1511.7157974300837,357.514883,3191.518
1385.7394809775767,689.973411,3229.373
1322.7513227513234,3114.282402,3222.184
1196.7750062988164,574.070003,3248.492
1133.7868480725629,500.037708,3157.507
1133.7868480725629,1278.631991,2920.233
1070.7986898463093,816.297231,2436.117
1007.8105316200559,1366.589747,1855.381
944.8223733938024,752.87481,1463.295
944.8223733938024,561.044487,1264.801
1007.8105316200559,828.375436,1114.686
1007.8105316200559,637.160865,855.358
944.8223733938024,660.938352,561.223
1259.76316452507,287.556022,360.193
