temperature,heat_load,electrical_load,PV,solar_thermal_eff,hp_COP,hp_el_p_max_pu
0.72,6.747400000000001,0.392881132,0.0,0.0,2.7546222222222223,1.6565527065527066
0.483,6.9564,0.3964177566666667,0.0,0.0,2.7406655555555557,1.69622150997151
1.081,7.0202,0.13884410333333333,0.094,0.0,2.775881111111111,1.5961289173789173
2.223,6.9190000000000005,0.11752962333333333,0.198,0.0,2.855422,1.4417358974358974
3.357,6.7012,0.9619619679999999,0.344,0.053385257729303484,2.984698,1.4388282051282049
4.164,6.490000000000001,0.39884918666666663,0.417,0.1882257881926353,3.076696,1.4367589743589742
4.424,6.2744,0.6630855886666667,0.334,0.08391508341898159,3.106336,1.4360923076923078
4.264,6.041200000000001,0.5769435106666666,0.263,0.0,3.088096,1.436502564102564
3.295,5.878400000000001,0.433299702,0.14,0.0,2.97763,1.4389871794871794
1.094,5.887200000000001,1.1035532713333334,0.003,0.0,2.7766466666666667,1.5939529914529913
0.187,6.1952,0.8944503253333332,0.0,0.0,2.7232344444444445,1.7457656695156694
-0.527,6.749600000000001,1.2884998066666666,0.0,0.0,2.6811877777777777,1.8652742165242164
-1.31,6.875000000000001,2.3951476246666665,0.0,0.0,2.6350777777777776,1.9963319088319087
-2.021,6.545000000000001,1.8239511286666668,0.0,0.0,2.593207777777778,2.115338319088319
-2.47,6.320600000000001,1.143687648,0.0,0.0,2.5667666666666666,2.190491452991453
-2.556,6.439400000000001,1.42829122,0.0,0.0,2.5617022222222223,2.2048860398860395
-2.173,6.578000000000001,0.389818162,0.0,0.0,2.5842566666666666,2.1407799145299142
-1.447,6.582400000000001,0.14231757466666667,0.0,0.0,2.62701,2.0192628205128202
-0.816,6.7716,0.12772899666666668,0.0,0.0,2.664168888888889,1.9136467236467234
-0.649,6.8992,0.10853017599999999,0.0,0.0,2.6740033333333333,1.8856944444444443
-0.66,6.941,0.28968747,0.0,0.0,2.6733555555555557,1.8875356125356124
-0.643,6.9278,0.333674242,0.0,0.0,2.6743566666666667,1.8846901709401707
-0.533,6.952000000000001,0.4345312053333333,0.0,0.0,2.6808344444444443,1.86627849002849
-0.238,7.114800000000001,0.38726042466666666,0.0,0.0,2.6982066666666666,1.8169017094017093
0.114,7.433800000000001,0.100383308,0.0,0.0,2.7189355555555554,1.7579843304843303
0.394,7.6406,0.15946389,0.0,0.0,2.7354244444444444,1.7111182336182336
0.811,7.6912,0.6161305773333333,0.009,0.0,2.759981111111111,1.641321225071225
1.369,7.559200000000001,0.4215530553333333,0.033,0.0,2.792841111111111,1.5479237891737894
2.084,7.306200000000001,0.5076319786666667,0.063,0.0,2.839576,1.4420923076923078
2.737,7.059800000000001,0.5555974533333333,0.083,0.0,2.914018,1.4404179487179487
3.128,6.813400000000001,0.36790371866666666,0.086,0.0,2.958592,1.4394153846153845
3.22,6.5494,0.549029436,0.058,0.0,2.96908,1.4391794871794872
2.887,6.3646,0.22552299,0.024,0.0,2.931118,1.4400333333333333
2.099,6.3668000000000005,0.373840196,0.0,0.0,2.841286,1.4420538461538461
1.968,6.694600000000001,0.425468604,0.0,0.0,2.8281155555555557,1.4476638176638177
1.849,7.2842,0.21617619600000001,0.0,0.0,2.8211077777777778,1.4675819088319086
1.49,7.411800000000001,0.41987947400000003,0.0,0.0,2.7999666666666667,1.52767094017094
1.117,7.051000000000001,0.30768636466666666,0.0,0.0,2.778001111111111,1.590103276353276
0.731,6.8024000000000004,0.4908330106666667,0.0,0.0,2.75527,1.6547115384615385
0.666,6.925600000000001,0.32391694666666665,0.0,0.0,2.7514422222222223,1.665591168091168
0.816,7.066400000000001,0.6608751979999999,0.0,0.0,2.7602755555555554,1.6404843304843304
0.76,7.0642000000000005,0.200956078,0.0,0.0,2.7569777777777777,1.6498575498575498
0.539,7.2578000000000005,0.16855806799999998,0.0,0.0,2.7439633333333333,1.6868482905982907
0.337,7.3832,0.348452282,0.0,0.0,2.732067777777778,1.720658831908832
0.214,7.4184,0.20774513466666666,0.0,0.0,2.7248244444444447,1.7412464387464386
0.203,7.3898,0.26594155999999997,0.0,0.0,2.7241766666666667,1.7430876068376067
0.244,7.4008,0.10218319733333332,0.0,0.0,2.726591111111111,1.736225071225071
0.304,7.557,0.18753584999999998,0.0,0.0,2.7301244444444444,1.726182336182336
0.441,7.873800000000001,0.400459614,0.0,0.0,2.738192222222222,1.7032514245014245
0.612,8.069600000000001,0.3360109406666667,0.0,0.0,2.7482622222222224,1.6746296296296297
0.886,8.0938,0.33566359399999995,0.002,0.0,2.764397777777778,1.6287678062678062
1.181,7.9244,0.7958669066666667,0.006,0.0,2.78177,1.5793910256410255
1.577,7.627400000000001,0.3776925913333333,0.011,0.0,2.80509,1.5131089743589745
2.217,7.3348,0.18450445733333332,0.036,0.0,2.854738,1.441751282051282
2.785,7.042200000000001,0.5728069226666667,0.041,0.0,2.91949,1.4402948717948716
2.952,6.729800000000001,0.36556702,0.022,0.0,2.938528,1.4398666666666666
2.791,6.498800000000001,0.3697351853333333,0.009,0.0,2.920174,1.440279487179487
2.354,6.457000000000001,0.3851447653333333,0.0,0.0,2.870356,1.4414
2.01,6.740800000000001,0.7862359193333334,0.0,0.0,2.83114,1.4422820512820513
1.697,7.282000000000001,0.6969361406666666,0.0,0.0,2.8121566666666666,1.4930235042735043
1.503,7.352400000000001,0.6264562593333333,0.0,0.0,2.8007322222222224,1.525495014245014
1.429,6.9388000000000005,0.658506922,0.0,0.0,2.7963744444444445,1.537881054131054
