PV,wind,electrical load
0.0,0.207,54742.64
0.0,0.193,52494.03
0.0,0.166,51702.97
0.0,0.167,50433.96
0.0,0.167,50302.66
0.0,0.175,50543.37
0.0,0.192,49668.48
0.0,0.206,52066.87
0.008,0.2,55307.35
0.022,0.173,58596.36
0.037,0.17,60501.03
0.052,0.217,61701.54
0.047,0.247,61936.44
0.012,0.255,60830.66
0.0,0.247,59225.23
0.0,0.257,58421.16
0.0,0.265,59073.58
0.0,0.267,61500.64
0.0,0.246,63535.27
0.0,0.235,62052.64
0.0,0.22,59009.04
0.0,0.212,56190.88
0.0,0.204,55110.93
0.0,0.191,52457.14
0.0,0.176,49619.46
0.0,0.164,47617.0
0.0,0.15,46515.13
0.0,0.139,45869.33
0.0,0.134,46421.83
0.0,0.133,46273.79
0.0,0.133,47120.27
0.0,0.136,48881.77
0.003,0.131,51142.38
0.007,0.114,55343.68
0.016,0.1,58471.15
0.035,0.1,61149.66
0.02,0.109,62921.41
0.019,0.127,62652.32
0.006,0.157,61234.82
0.0,0.2,60701.12
0.0,0.268,60876.31
0.0,0.32,64102.04
0.0,0.356,66168.92
0.0,0.382,65014.89
0.0,0.398,61315.63
0.0,0.396,58960.31
0.0,0.386,59084.31
0.0,0.387,56378.99
0.0,0.4,54258.95
0.0,0.375,51868.03
0.0,0.34,51912.06
0.0,0.318,51834.98
0.0,0.319,52610.27
0.0,0.311,55127.44
0.0,0.318,61719.23
0.001,0.333,69764.81
0.037,0.352,74575.24
0.062,0.411,76036.88
0.08,0.47,77255.34
0.073,0.466,77407.81
0.072,0.38,77351.91
0.06,0.321,76995.14
0.021,0.271,75566.68
0.0,0.282,75516.82
0.0,0.331,73829.98
0.0,0.351,75402.44
0.0,0.377,76418.47
0.0,0.387,75494.17
0.0,0.408,71727.4
0.0,0.407,67089.33
0.0,0.363,63503.78
0.0,0.295,59576.27
0.0,0.249,56132.21
0.0,0.235,54599.4
0.0,0.205,52836.04
0.0,0.163,52056.9
0.0,0.151,53477.6
0.0,0.144,56155.09
0.0,0.119,61194.78
0.003,0.081,68428.36
0.044,0.047,71464.53
0.071,0.021,71459.67
0.109,0.007,71917.35
0.142,0.007,71965.95
0.169,0.01,72539.95
0.144,0.019,72619.72
0.067,0.04,71416.37
0.0,0.07,71096.94
0.0,0.107,70352.21
0.0,0.152,72419.67
0.0,0.178,73745.0
0.0,0.187,72304.32
0.0,0.191,69011.92
0.0,0.192,65759.8
0.0,0.188,63912.73
0.0,0.176,59998.43
0.0,0.163,56477.14
0.0,0.149,55772.13
0.0,0.123,54608.1
0.0,0.097,54508.96
0.0,0.078,55012.51
0.0,0.065,57288.11
0.0,0.058,63186.34
0.011,0.052,70322.99
0.16,0.045,74013.19
0.316,0.034,74840.1
0.445,0.018,75559.57
0.511,0.009,75111.17
0.48,0.007,76114.43
0.358,0.006,76287.06
0.157,0.005,74949.01
0.003,0.005,74894.6
0.0,0.013,74721.05
0.0,0.028,76751.47
0.0,0.043,77990.98
