,load_profile_normalized
135,0.1523376215877
136,0.16018198933165984
137,0.15861311578286788
138,0.24050831502980857
139,0.2441167241920301
140,0.2522748666457484
141,0.2158770003137747
142,0.15704424223407595
143,0.11201757138374648
144,0.1051145277690618
145,0.10323187951051145
146,0.10527141512394102
147,0.10197678067147788
148,0.11076247254471287
149,0.1385315343583307
150,0.2020709130844054
151,0.2445873862566677
152,0.5578914339504236
153,0.7086601819893316
154,0.708817069344211
155,0.7348603702541574
156,0.6551615939755255
157,0.6529651710072168
158,0.5296517100721682
159,0.42281142139943517
160,0.30294948227172885
161,0.30655789143395035
162,0.28082836523376214
163,0.24709758393473485
164,0.21807342328208346
165,0.13680577345465955
166,0.12472544712896139
167,0.12347034828992783
168,0.12958895513021645
169,0.105271415123941
170,0.1002510197678067
171,0.09962347034828992
172,0.1004079071226859
173,0.11750862880451834
174,0.21509256353937875
175,0.23062441167241918
176,0.45528710385942894
177,0.6368057734546595
178,0.7325070599309695
179,0.6170379667398808
180,0.6000941324129275
181,0.6656730467524317
182,0.5498901788515846
183,0.4144963915908378
184,0.33150298085974267
185,0.3467210542830248
186,0.3536240978977093
187,0.32130530279259484
188,0.21195481644179479
189,0.19877627863194222
190,0.32067775337307813
191,0.20269846250392215
192,0.1197050517728271
193,0.10276121744587385
194,0.10040790712268591
195,0.09962347034828992
196,0.09993724505804831
197,0.11139002196422967
198,0.21587700031377471
199,0.2456855977408221
200,0.5192971446501411
201,0.586915594603075
202,0.6647317226231566
203,0.6488860997803578
204,0.6016630059617193
205,0.5897395669909004
206,0.4361468465641669
207,0.3547223093818637
208,0.307812990272984
209,0.2962033260119234
210,0.27925949168497016
211,0.19312833385629116
212,0.18638217759648573
213,0.1382177596485723
214,0.12001882648258548
215,0.11217445873862568
216,0.10417320363978665
217,0.10213366802635707
218,0.10040790712268591
219,0.09727016002510197
220,0.09742704737998116
221,0.11201757138374648
222,0.21524945089425787
223,0.24960778161280195
224,0.5274552871038594
225,0.5042359585817383
226,0.9256353937872607
227,0.7543144022591779
228,0.6192343897081894
229,0.760746783809225
230,0.5784436774395983
231,0.4253216190775023
232,0.3233448384060245
233,0.2803577031691245
234,0.30938186382177585
235,0.26357075619705045
236,0.19940382805145904
237,0.18748038908064013
238,0.18387197991841855
239,0.3049890178851585
240,0.15202384687794163
241,0.10684028867273297
242,0.10166300596171948
243,0.09899592092877314
244,0.09899592092877314
245,0.1055851898336994
246,0.20505177282711012
247,0.24741135864449318
248,0.4984311264512081
249,0.5685597740822089
250,0.7529024160652651
251,0.7348603702541574
252,0.5688735487919674
253,0.6087229369312834
254,0.48744901160966425
255,0.3517414496391591
256,0.28129902729839973
257,0.28255412613743325
258,0.31518669595230625
259,0.27016002510197673
260,0.14480702855349858
261,0.12362723564480702
262,0.11060558518983367
263,0.13555067461562598
264,0.09585817383118919
265,0.09303420144336366
266,0.10354565422026983
267,0.09240665202384689
268,0.09115155318481329
269,0.09632883589582679
270,0.10903671164104174
271,0.1333542516473172
272,0.18575462817696892
273,0.2486664574835268
274,0.22183871979918418
275,0.20677753373078128
276,0.21368057734546592
277,0.22764355192971444
278,0.18732350172576093
279,0.19626608095387507
280,0.19579541888923754
281,0.2069344210856605
282,0.19642296830875428
283,0.19893316598682143
284,0.19108879824286162
285,0.18606840288672732
286,0.1768120489488547
287,0.1673988076561029
288,0.10731095073737057
289,0.0913084405396925
290,0.0909946658299341
291,0.09507373705679321
292,0.09303420144336365
293,0.09287731408848446
294,0.10134923125196106
295,0.10150611860684026
296,0.11248823344838406
297,0.12676498274239095
298,0.12770630687166612
299,0.13288358958267962
300,0.1830875431440226
301,0.16818324443049887
302,0.13319736429243803
303,0.13711954816441796
304,0.1430812676498274
305,0.14104173203639786
306,0.2034828992783181
307,0.2191716347662378
308,0.24239096328835893
309,0.2314088484468151
310,0.14449325384374018
311,0.12096015061186069
312,0.11154690931910886
313,0.10433009099466581
314,0.1000941324129275
315,0.10511452776906181
316,0.10197678067147788
317,0.10872293693128332
318,0.2110134923125196
319,0.2540006275494195
320,0.5608722936931283
321,0.560715406338249
322,0.6829306557891434
323,0.7679636021336679
324,0.578914339504236
325,0.5340445560087856
326,0.47364292438029487
327,0.3619391277063069
328,0.3103231879510511
329,0.30765610291810475
330,0.2643551929714465
331,0.24082208973956695
332,0.24647003451521807
333,0.18371509256353935
334,0.12660809538751178
335,0.12566677125823658
336,0.10950737370567933
337,0.09679949796046439
338,0.09821148415437714
339,0.10119234389708187
340,0.09742704737998117
341,0.11437088170693442
342,0.20536554753686853
343,0.23689990586758708
344,0.5164731722623157
345,0.5993096956385314
346,0.7620018826482584
347,0.8090680891120173
348,0.6575149042987134
349,0.6799497960464387
350,0.49921556322560395
351,0.3639786633197364
352,0.2271728898650769
353,0.2748666457483527
354,0.2949482271728899
355,0.25541261374333224
356,0.16206463759021023
357,0.14951364919987448
358,0.12676498274239095
359,0.12347034828992783
360,0.11766551615939755
361,0.10260433009099466
362,0.10087856918732349
363,0.09836837150925634
364,0.10213366802635707
365,0.10872293693128332
366,0.211327267022278
367,0.23831189206149989
368,0.5158456228427988
369,0.5111390021964229
370,0.6702227800439284
371,0.7292124254785064
372,0.6057420771885786
373,0.6672419203012235
374,0.50392218387198
375,0.4025729526200189
376,0.2725133354251647
377,0.23595858173831186
378,0.20756197050517727
379,0.16567304675243172
380,0.15500470662064636
381,0.12033260119234389
382,0.11170379667398807
383,0.14229683087543143
384,0.10699717602761216
385,0.1005647944775651
386,0.1010354565422027
387,0.09946658299341074
388,0.1004079071226859
389,0.11342955757765921
390,0.21085660495764041
391,0.2869469720740508
392,0.5869155946030751
393,0.5851898336994039
394,0.8333856291182932
395,0.7552557263884531
396,0.7353310323187952
397,0.7397238782554124
398,0.5658926890492626
399,0.42045811107624725
400,0.25149042987135234
401,0.19861939127706305
402,0.23172262315657358
403,0.1967367430185127
404,0.16112331346093503
405,0.14465014119861935
406,0.13162849074364605
407,0.11829306557891434
408,0.12205836209601505
409,0.11139002196422969
410,0.09821148415437715
411,0.10338876686539064
412,0.10291810480075304
413,0.11280200815814244
414,0.21509256353937875
415,0.2692187009727016
416,0.503137747097584
417,0.5978977094446187
418,0.7618449952933793
419,0.6380608722936931
420,0.5651082522748665
421,0.5508315029808597
422,0.4482271728898651
423,0.3630373391904612
424,0.32522748666457474
425,0.2646689676812049
426,0.2690618136178224
427,0.25855036084091615
428,0.1673988076561029
429,0.13445246313147158
430,0.12221524945089425
431,0.1200188264825855
432,0.10558518983369938
433,0.1005647944775651
434,0.11044869783495449
435,0.11797929086915593
436,0.104486978349545
437,0.10385942893002824
438,0.11295889551302164
439,0.1151553184813304
440,0.13821775964857233
441,0.20975839347348602
442,0.30342014433636644
443,0.34122999686225286
444,0.3679008471917164
445,0.28867273297772195
446,0.23031063696266083
447,0.2149356761844995
448,0.19893316598682143
449,0.19265767179165358
450,0.2011295889551302
451,0.21132726702227797
452,0.19846250392218387
453,0.19626608095387507
454,0.20536554753686853
455,0.16300596171948542
456,0.09319108879824287
457,0.09507373705679321
458,0.09287731408848447
459,0.10276121744587385
460,0.09789770944461877
461,0.10197678067147788
462,0.1054283024788202
463,0.10966426106055852
464,0.12754941951678694
465,0.13413868842171323
466,0.13508001255098837
467,0.13272670222780042
468,0.14480702855349858
469,0.12331346093504862
470,0.12111703796673987
471,0.11201757138374648
472,0.10464386570442423
473,0.12362723564480702
474,0.21603388766865386
475,0.240037652965171
476,0.24741135864449318
477,0.23297772199560712
478,0.198619391277063
479,0.18073423282083464
480,0.12645120803263254
481,0.11327267022278004
482,0.173046752431754
483,0.1661437088170693
484,0.17430185127078754
485,0.1741449639159084
486,0.18904926262943206
487,0.2475682459993725
488,0.5106683401317854
489,0.504706620646376
490,0.68748038908064
491,0.6319422654534044
492,0.49639159083777845
493,0.5183558205208659
494,0.47223093818638223
495,0.39159083777847503
496,0.29792908691559455
497,0.2958895513021651
498,0.24882334483840599
499,0.25745214935676186
500,0.19501098211484152
501,0.17053655475368684
502,0.14606212739253216
503,0.13147160338876687
504,0.11860684028867272
505,0.1102918104800753
506,0.1007216818324443
507,0.096485723250706
508,0.09868214621901476
509,0.11531220583620959
510,0.22732977721995604
511,0.2513335425164732
512,0.5450266708503294
513,0.5094132412927518
514,0.8525258864135552
515,0.6735174144963917
516,0.5660495764041417
517,0.6267649827423909
518,0.4670536554753686
519,0.40445560087856924
520,0.3007530593034201
521,0.33699403828051466
522,0.30420458111076243
523,0.28867273297772195
524,0.21885786005647945
525,0.20316912456855976
526,0.2014433636648886
527,0.24364606212739254
528,0.33762158770003126
529,0.10495764041418262
530,0.09915280828365232
531,0.10009413241292753
532,0.09978035770316912
533,0.11186068402886727
534,0.20583620960150614
535,0.25133354251647316
536,0.532632569814873
537,0.49717602761217444
538,0.8155004706620647
539,0.6680263570756196
540,0.5447128961405711
541,0.6305302792594916
542,0.538280514590524
543,0.37527455287103856
544,0.300596171948541
545,0.25713837464700345
546,0.25243175400062756
547,0.1823031063696266
548,0.16520238468779416
549,0.12268591151553183
550,0.12394101035456542
551,0.10103545654220272
552,0.0960150611860684
553,0.09491684970191402
554,0.09224976466896767
555,0.09036711641041731
556,0.09381863821775964
557,0.12550988390335738
558,0.20818951992469403
559,0.25180420458111075
560,0.5464386570442422
561,0.5010982114841543
562,0.63476623784123
563,0.7615312205836209
564,0.6507687480389079
565,0.6948540947599623
566,0.5886413555067462
567,0.4326953247568246
568,0.3567618449952933
569,0.25949168497019137
570,0.3823344838406024
571,0.2759648572325071
572,0.25117665516159393
573,0.2196422968308754
574,0.3473486037025416
575,0.3951992469406966
576,0.13115782867900844
577,0.10134923125196107
578,0.09052400376529651
579,0.09177910260433009
580,0.09632883589582679
581,0.09915280828365232
582,0.1942265453404455
583,0.24050831502980857
584,0.48901788515845623
585,0.6219014747411358
586,0.6953247568245999
587,0.6524945089425792
588,0.5283966112331345
589,0.541418261688108
590,0.4308126764982742
591,0.29447756510825235
592,0.29024160652651393
593,0.20003137747097582
594,0.18481330404769378
595,0.19689363037339191
596,0.14041418261688107
597,0.11766551615939755
598,0.1245685597740822
599,0.12347034828992781
600,0.12582365861311576
601,0.08801380608722935
602,0.08879824286162534
603,0.08597427047379981
604,0.08503294634452463
605,0.0953875117665516
606,0.19406965798556636
607,0.26953247568245997
608,0.5321619077502354
609,0.5387511766551615
610,0.4946658299341073
611,0.38280514590524006
612,0.46407279573266397
613,0.42281142139943517
614,0.30420458111076243
615,0.27047379981173514
616,0.2740822089739567
617,0.16912456855977406
618,0.11452776906181361
619,0.11892061499843111
620,0.13162849074364608
621,0.11358644493253844
622,0.14119861939127706
623,0.09052400376529653
624,0.08817069344210857
625,0.08362096015061185
626,0.08832758079698776
627,0.08660181989331658
